country,mined_raw_mat,unit,2018,2019,2020,2021,2022
Central African Republic,Diam. (Ind),(ct),2710.0,5510.0,12370.0,18550.0,27150.0
Chad,Petroleum,(t),5750600.0,6316700.0,6303000.0,5799300.0,6160600.0
Chile,Iron,(t),8942638.0,8427224.0,9890886.0,11163294.0,11059801.0
Chile,Molybdenum,(t),60705.0,54759.0,59381.0,49427.0,45627.0
Chile,Copper,(t),5831600.0,5787400.000000001,5733100.0,5624900.0,5330400.0
Chile,Lead,(t),712.0,7.0,1386.0,382.0,457.0
Chile,Lithium,(t),38850.0,44940.0,49730.0,65060.0,110350.0
Chile,Mercury,(t),3.0,0.0,0.0,0.0,0.0
Chile,Rhenium,(kg),26052.0,24003.0,14549.0,18831.0,32303.0
Chile,Zinc,(t),26810.0,5620.0,28662.0,27915.0,24092.0
Chile,Gold,(kg),37066.0,38455.0,33895.0,34248.0,30966.0
Chile,Silver,(kg),1370237.0,1309321.0,1575794.0,1383041.0,1274363.0
Chile,Bentonite,(t),525.0,395.0,170.0,170.0,1372.0
Chile,Boron,(t),398411.0,352255.0,288103.0,363032.0,421935.0
Chile,Diatomite,(t),24736.0,21328.0,21477.0,27096.0,24279.0
Chile,Feldspar,(t),2789.0,55.0,329.0,0.0,0.0
Chile,Gypsum,(t),909191.0,977397.0,910310.0,1007206.0,978846.0
Chile,Kaolin,(t),88262.0,34801.0,38789.0,49533.0,44232.0
Chile,Perlite,(t),5020.0,4700.0,0.0,0.0,0.0
Chile,Phosphates,(t),1160.0,950.0,590.0,620.0,940.0
Chile,Potash,(t),991180.0,683540.0,966680.0,891450.0,676350.0
Chile,Salt,(t),10012105.0,10476823.0,9574159.0,8565307.0,10501352.0
Chile,Sulfur,(t),1734200.0,1518700.0,1735100.0,1662200.0,1591200.0
Chile,Steam Coal,(t),2294677.0,1606554.0,191562.0,18541.0,14950.0
Chile,Nat. Gas,(Mio m3),1221.0,1339.0,1316.0,1275.0,1355.0
Chile,Petroleum,(t),160330.0,161520.0,102640.0,109980.0,128510.0
China,Iron,(t),209243800.0,219375000.0,225400000.0,215700000.0,212900000.0
China,Chromium,(t),16330.0,27250.0,54440.0,67620.0,65050.0
